n,language,data_model,memo,conv_model,min_value,max_value
1,typescript,number,数値,NUMBER,1,18
2,typescript,bigint,任意精度の整数,NUMBER,1,18
3,typescript,boolean,真偽値,BOOLEAN,1,1
4,typescript,string,文字列,STRING,1,255
5,typescript,[],配列,COLLECTION,1,255
6,typescript,Array,配列,COLLECTION,1,255
7,typescript,Tuple,固定長配列,COLLECTION,1,255
8,typescript,Set,コレクション,ARRAY,1,255
9,typescript,Map,連想配列,MAP,1,255
10,typescript,Date,JavaScript Dateオブジェクト,DATETIME,-1,-1
11,python,int,整数,NUMBER,1,18
12,python,float,浮動小数点数,DECIMAL,1,38
13,python,Decimal,任意精度10進数,DECIMAL,1,38
14,python,decimal.Decimal,任意精度10進数,DECIMAL,1,38
15,python,bool,真偽値,BOOLEAN,1,1
16,python,str,文字列,STRING,1,255
17,python,list,順序付きコレクション,COLLECTION,1,255
18,python,tuple,順序付き固定コレクション,COLLECTION,1,255
19,python,set,順序非依存として扱う集合,ARRAY,1,255
20,python,frozenset,順序非依存として扱う不変集合,ARRAY,1,255
21,python,dict,キーと値のペア,MAP,1,255
22,python,date,日付,DATE,-1,-1
23,python,datetime.date,日付,DATE,-1,-1
24,python,datetime,日時,DATETIME,-1,-1
25,python,datetime.datetime,日時,DATETIME,-1,-1
26,php,int,整数,NUMBER,1,18
27,php,float,浮動小数点数,DECIMAL,1,38
28,php,bool,真偽値,BOOLEAN,1,1
29,php,integer,整数,NUMBER,1,18
30,php,double,浮動小数点数,DECIMAL,1,38
31,php,boolean,真偽値,BOOLEAN,1,1
32,php,string,文字列,STRING,1,255
33,php,array,配列,ARRAY,1,255
34,php,DateTime,日時,DATETIME,-1,-1
35,php,DateTimeImmutable,不変日時,DATETIME,-1,-1
36,php,DateTimeInterface,日時インターフェース,DATETIME,-1,-1
37,javascript,string,文字列,STRING,1,255
38,javascript,number,数値。実値が小数の場合は解析側でDECIMALへ判定可能,NUMBER,1,18
39,javascript,boolean,真偽値,BOOLEAN,1,1
40,javascript,Array,順序付き配列,COLLECTION,1,255
41,javascript,Set,順序非依存として扱う集合,ARRAY,1,255
42,javascript,Map,キーと値のペア,MAP,1,255
43,javascript,Date,日時,DATETIME,-1,-1
44,java,int,整数（一般的な数値）,NUMBER,1,18
45,java,long,大きな整数,NUMBER,1,18
46,java,double,小数（一般的な小数）,DECIMAL,1,38
47,java,float,小数（単精度）,DECIMAL,1,38
48,java,boolean,真偽値（true / false）,BOOLEAN,1,1
49,java,char,1文字,CHAR,1,1
50,java,byte,小さな整数,NUMBER,1,18
51,java,short,やや小さな整数,NUMBER,1,18
52,java,[],配列,COLLECTION,1,255
53,java,List,配列,COLLECTION,1,255
54,java,Set,配列,ARRAY,1,255
55,java,Map,配列,MAP,1,255
56,java,Queue,配列,COLLECTION,1,255
57,java,Deque,配列,COLLECTION,1,255
58,java,String,文字列,STRING,1,255
59,java,BigInteger,任意精度の整数,NUMBER,1,18
60,java,BigDecimal,任意精度の小数,DECIMAL,1,38
61,java,Integer,整数ラッパー型,NUMBER,1,18
62,java,Long,長整数ラッパー型,NUMBER,1,18
63,java,Short,短整数ラッパー型,NUMBER,1,18
64,java,Byte,バイト整数ラッパー型,NUMBER,1,18
65,java,Double,倍精度浮動小数点ラッパー型,DECIMAL,1,38
66,java,Float,単精度浮動小数点ラッパー型,DECIMAL,1,38
67,java,Boolean,真偽値ラッパー型,BOOLEAN,1,1
68,java,Character,1文字ラッパー型,CHAR,1,1
69,java,LocalDate,日付,DATE,-1,-1
70,java,java.time.LocalDate,日付,DATE,-1,-1
71,java,LocalDateTime,日時,DATETIME,-1,-1
72,java,java.time.LocalDateTime,日時,DATETIME,-1,-1
73,java,OffsetDateTime,UTCオフセット付き日時,DATETIME,-1,-1
74,java,java.time.OffsetDateTime,UTCオフセット付き日時,DATETIME,-1,-1
75,java,ZonedDateTime,タイムゾーン付き日時,DATETIME,-1,-1
76,java,java.time.ZonedDateTime,タイムゾーン付き日時,DATETIME,-1,-1
77,java,Instant,UTC基準の瞬間時刻,DATETIME,-1,-1
78,java,java.time.Instant,UTC基準の瞬間時刻,DATETIME,-1,-1
79,java,Date,日時（java.util.Date）,DATETIME,-1,-1
80,java,java.util.Date,日時,DATETIME,-1,-1
81,java,java.sql.Date,SQL日付,DATE,-1,-1
82,java,Timestamp,SQLタイムスタンプ,DATETIME,-1,-1
83,java,java.sql.Timestamp,SQLタイムスタンプ,DATETIME,-1,-1
84,go,int8,8ビット符号付き整数,NUMBER,1,18
85,go,int16,16ビット符号付き整数,NUMBER,1,18
86,go,int32,32ビット符号付き整数,NUMBER,1,18
87,go,int64,64ビット符号付き整数,NUMBER,1,18
88,go,int,符号付き整数,NUMBER,1,18
89,go,uint8,8ビット符号なし整数,NUMBER,1,18
90,go,byte,8ビット符号なしバイト,NUMBER,1,18
91,go,uint64,64ビット符号なし整数,NUMBER,1,18
92,go,float32,単精度浮動小数点数,DECIMAL,1,38
93,go,float64,倍精度浮動小数点数,DECIMAL,1,38
94,go,bool,真偽値,BOOLEAN,1,1
95,go,rune,Unicodeコードポイント,CHAR,1,1
96,go,string,文字列,STRING,1,255
97,go,Array,固定長配列,COLLECTION,1,255
98,go,Slice,可変長配列,COLLECTION,1,255
99,go,Map,キーと値のペア,MAP,1,255
100,go,time.Time,日時,DATETIME,-1,-1
101,c#,byte,8ビット符号なし整数,NUMBER,1,18
102,c#,short,16ビット符号付き整数,NUMBER,1,18
103,c#,int,32ビット符号付き整数,NUMBER,1,18
104,c#,long,64ビット符号付き整数,NUMBER,1,18
105,c#,float,32ビット単精度浮動小数点数,DECIMAL,1,38
106,c#,double,64ビット倍精度浮動小数点数,DECIMAL,1,38
107,c#,decimal,128ビット高精度10進数,DECIMAL,1,38
108,c#,bool,真偽値,BOOLEAN,1,1
109,c#,char,16ビットUnicode文字,CHAR,1,1
110,c#,string,文字列,STRING,1,255
111,c#,[],固定長配列,COLLECTION,1,255
112,c#,List,動的配列,COLLECTION,1,255
113,c#,Dictionary,キーと値のペア,MAP,1,255
114,c#,HashSet,重複を持たないコレクション,ARRAY,1,255
115,c#,Queue,FIFOコレクション,COLLECTION,1,255
116,c#,Stack,LIFO コレクション,COLLECTION,1,255
117,c#,DateTime,日時,DATETIME,-1,-1
118,c#,System.DateTime,日時,DATETIME,-1,-1
119,c#,DateTimeOffset,UTCオフセット付き日時,DATETIME,-1,-1
120,c#,System.DateTimeOffset,UTCオフセット付き日時,DATETIME,-1,-1
121,c#,DateOnly,日付,DATE,-1,-1
122,c#,System.DateOnly,日付,DATE,-1,-1
