n,root_id,branch_id,leaf_id,leaf_edge_id,x_id,x_name
1,string_root,Nothing,Nothing,Nothing,string_root,"""文字列 (Universal String Set)"""
2,string_root,full_width,Nothing,Nothing,full_width,"""全角"""
3,string_root,full_width,fw_date_time,Nothing,fw_date_time,"""日付・日時関連"""
4,string_root,full_width,fw_date_time,fw_date,fw_date,"""全角日付"""
5,string_root,full_width,fw_date_time,fw_datetime,fw_datetime,"""全角日時"""
6,string_root,full_width,fw_date_time,fw_datetime_tz,fw_datetime_tz,"""全角日時タイムゾーン"""
7,string_root,full_width,fw_text,Nothing,fw_text,"""全角テキスト"""
8,string_root,full_width,fw_text,fw_alphanum,fw_alphanum,"""全角英数"""
9,string_root,full_width,fw_text,fw_alphanum,fw_alpha,"""全角英字"""
10,string_root,full_width,fw_text,fw_alphanum,fw_numeric_char,"""全角数字 (文字)"""
11,string_root,full_width,fw_text,fw_kana,fw_kana,"""全角カナ"""
12,string_root,full_width,fw_text,fw_kana,fw_katakana,"""全角カタカナ"""
13,string_root,full_width,fw_text,fw_kana,fw_hiragana,"""全角ひらがな"""
14,string_root,full_width,fw_text,fw_symbol,fw_symbol,"""全角記号"""
15,string_root,full_width,fw_text,fw_kanji,fw_kanji,"""漢字"""
16,string_root,full_width,fw_text,fw_kanji,fw_kanji_common,"""全角常用漢字"""
17,string_root,full_width,fw_text,fw_kanji,fw_kanji_variant,"""全角異体字"""
18,string_root,full_width,fw_numeric_value,Nothing,fw_numeric_value,"""全角数値 (値として解釈可能)"""
19,string_root,full_width,fw_numeric_value,fw_decimal_system,fw_decimal_system,"""10進数"""
20,string_root,full_width,fw_numeric_value,fw_decimal_system,fw_integer,"""整数"""
21,string_root,full_width,fw_numeric_value,fw_decimal_system,fw_float,"""小数"""
22,string_root,full_width,fw_numeric_value,fw_binary,fw_binary,"""2進数"""
23,string_root,full_width,fw_numeric_value,fw_octal,fw_octal,"""8進数"""
24,string_root,full_width,fw_numeric_value,fw_hex,fw_hex,"""16進数"""
25,string_root,full_width,fw_special,Nothing,fw_special,"""特殊全角"""
26,string_root,full_width,fw_special,fw_bool,fw_bool,"""TRUE/FALSE"""
27,string_root,full_width,fw_special,fw_env_dependent,fw_env_dependent,"""環境依存文字"""
28,string_root,full_width,fw_special,fw_emoji,fw_emoji,"""絵文字"""
29,string_root,full_width,fw_special,fw_space,fw_space,"""全角空白"""
30,string_root,full_width,fw_special,fw_surrogate,fw_surrogate,"""サロゲートペア (4byte)"""
31,string_root,half_width,Nothing,Nothing,half_width,"""半角"""
32,string_root,half_width,hw_date_time,Nothing,hw_date_time,"""日付・日時関連"""
33,string_root,half_width,hw_date_time,hw_date,hw_date,"""半角日付"""
34,string_root,half_width,hw_date_time,hw_datetime,hw_datetime,"""半角日時"""
35,string_root,half_width,hw_date_time,hw_datetime_tz,hw_datetime_tz,"""半角日時タイムゾーン"""
36,string_root,half_width,hw_text,Nothing,hw_text,"""半角テキスト"""
37,string_root,half_width,hw_text,hw_alphanum,hw_alphanum,"""半角英数"""
38,string_root,half_width,hw_text,hw_alphanum,hw_alpha,"""半角英字"""
39,string_root,half_width,hw_text,hw_alphanum,hw_numeric_char,"""半角数字 (文字)"""
40,string_root,half_width,hw_text,hw_kana,hw_kana,"""半角カナ"""
41,string_root,half_width,hw_text,hw_kana,hw_katakana,"""半角カタカナ"""
42,string_root,half_width,hw_text,hw_kana,hw_hiragana,"""半角ひらがな"""
43,string_root,half_width,hw_text,hw_symbol,hw_symbol,"""半角記号"""
44,string_root,half_width,hw_numeric_value,Nothing,hw_numeric_value,"""半角数値 (値として解釈可能)"""
45,string_root,half_width,hw_numeric_value,hw_decimal_system,hw_decimal_system,"""10進数"""
46,string_root,half_width,hw_numeric_value,hw_decimal_system,hw_integer,"""整数"""
47,string_root,half_width,hw_numeric_value,hw_decimal_system,hw_float,"""小数"""
48,string_root,half_width,hw_numeric_value,hw_binary,hw_binary,"""2進数"""
49,string_root,half_width,hw_numeric_value,hw_octal,hw_octal,"""8進数"""
50,string_root,half_width,hw_numeric_value,hw_hex,hw_hex,"""16進数"""
51,string_root,half_width,hw_special,Nothing,hw_special,"""特殊半角"""
52,string_root,half_width,hw_special,hw_bool,hw_bool,"""TRUE/FALSE"""
53,string_root,half_width,hw_special,hw_space,hw_space,"""半角空白"""
