fromPath,fromComponent,toPath,toComponent,sourceFile,transitionType
__common__,Header,/,TopPage,./sample-target/src/presentation/components/Header.tsx,navigate
__common__,Header,/tables/,TableEditPage,./sample-target/src/presentation/components/Header.tsx,location.href
__common__,Header,/import,ImportPage,./sample-target/src/presentation/components/Header.tsx,window.open
__common__,Header,/export,ExportPage,./sample-target/src/presentation/components/Header.tsx,window.open
/connections/settings,ConnectionSettingsPage,/,TopPage,./sample-target/src/presentation/pages/ConnectionSettingsPage.tsx,navigate
/export,ExportPage,/export/done,ProcessCompletePage,./sample-target/src/presentation/pages/ExportPage.tsx,location.href
/import,ImportPage,/import/new-table,ImportPage,./sample-target/src/presentation/pages/ImportPage.tsx,location.href
/import,ImportPage,/import/mapping,MappingPage,./sample-target/src/presentation/pages/ImportPage.tsx,location.href
/import/mapping,MappingPage,/import/done,ProcessCompletePage,./sample-target/src/presentation/pages/MappingPage.tsx,location.href
__common__,NewTableMappingPage,/import/done,ProcessCompletePage,./sample-target/src/presentation/pages/NewTableMappingPage.tsx,location.href
/,TopPage,/tables/_select,TableEditPage,./sample-target/src/presentation/pages/TopPage.tsx,navigate
/,TopPage,/connections/settings,ConnectionSettingsPage,./sample-target/src/presentation/pages/TopPage.tsx,navigate
/,TopPage,/tables/,TableEditPage,./sample-target/src/presentation/components/Header.tsx,location.href
/,TopPage,/import,ImportPage,./sample-target/src/presentation/components/Header.tsx,window.open
/,TopPage,/export,ExportPage,./sample-target/src/presentation/components/Header.tsx,window.open
